Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"‘Our community is the worst’: The influence of cultural beliefs on stigma, relationships with family and help-seeking in three ethnic communities in London.","Shefer, Guy; Rose, Diana; Nellums, Laura; Thornicroft, Graham; Henderson, Claire; Evans-Lacko, Sara",International Journal of Social Psychiatry,00207640,,20130901,59,6,535,10,2013-30986-003,10.1177/0020764012443759,Sage Publications,Journal Article,Community Attitudes; Mental Illness (Attitudes Toward); Minority Groups; Racial and Ethnic Groups; Stigma; Asians; Blacks; Communities; Sociocultural Factors; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female,,"Background: Existing knowledge about the cultural beliefs of Black and minority ethnic (BME) communities in the UK regarding stigma and mental illness is limited. Material: Data were collected in 10 focus groups, five with service users and five with laypersons, from BME communities in London. Discussion: Thematic analysis identified that cultural beliefs regarding mental illness reflect four different voices present within the BME communities. Conclusion: The study revealed that cultural beliefs influencing both relationships with family and, consequently, help-seeking for individuals with mental illness must be considered in the development of anti-stigma interventions and when engaging communities around mental health. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-30986-003&site=ehost-live&scope=site
‘racist!’: Metapragmatic regimentation of racist discourse by asian american youth.,"Reyes, Angela",Discourse & Society,09579265,,20110701,22,4,458,16,2011-15636-006,10.1177/0957926510395836,Sage Publications,Journal Article,Discourse Analysis; Linguistics; Racism; Asians; Pragmatics; Ideology; Adulthood (18 yrs & older); Male; Female,,"This study illustrates how Asian American youth participate in the ongoing formation of linguistic and racial ideologies in the USA through the metapragmatic regimentation of racist discourse (Silverstein, 1993). After presenting examples of crying ‘racist’ in US politics and entertainment, this article examines ethnographic and discourse data in which Korean American boys ‘decode’ (Hill, 2009) certain uses of the term ‘black’ as ‘racist’. The analysis illustrates how the regimentation of racist discourse relies on the indexical construal of broader oppositions that link ‘black’ to negative racialized qualities, including deviance, violence, and insults. This article argues that ‘racist’ cries by Asian American youth challenge language ideologies of referentialism and personalism and racial ideologies of colorblindness and postrace. Crying ‘racist’ becomes a rich resource for achieving a number of interactional effects that renegotiate the position of Asian American youth with respect to the range of racial categories that circulate throughout US society. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-15636-006&site=ehost-live&scope=site
A community ecology approach to cultural competence in mental health service delivery: The case of Asian Americans.,"Abe, Jennifer",Asian American Journal of Psychology,19481985,143381286X,20120901,3,3,168,13,2012-26526-004,10.1037/a0029842,Educational Publishing Foundation,Journal Article,Community Mental Health Services; Cultural Sensitivity; Health Care Delivery; Mental Health; Social Justice; Asians; Communities; Competence; Ecology,,"Using Asian Americans as a case example, a community ecology approach is proposed to address a gap in our understanding of cultural competence as a systems/societal level construct. A community ecology approach to cultural competence rests on three assumptions: (1) individual psychological distress is construed as embedded in, and intimately tied to, collective experience; (2) social justice is understood as integral to psychological wellness; and (3) formal mental health services are viewed as a primary, but not exclusive, source of care that can help address the mental health needs of a community. To examine these ideas, the paper is divided into two sections: (1) an examination of a community ecology approach to conceptualizing distress, wellness, and mental health service delivery, and (2) an exploration of the implications of a community ecology approach for providing culturally competent mental health interventions for individuals and for communities. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-26526-004&site=ehost-live&scope=site
A community-based study of scaling assumptions and construct validity of the English (UK) and Chinese (HK) SF-36 in Singapore.,"Thumboo, J.; Fong, K. -Y.; Machin, D.; Chan, S. -P.; Leong, K. -H.; Feng, P. -H.; Thio, S. -T.; Boey, M. -L.","Quality of Life Research: An International Journal of Quality of Life Aspects of Treatment, Care & Rehabilitation",09629343,,20010101,10,2,175,14,2001-09745-009,10.1023/A:1016701514299,Springer,Journal Article,Culture (Anthropological); Quality of Life; Racial and Ethnic Groups; Scaling (Testing); Test Validity; Asians; Construct Validity; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Male; Female,,"Scaling assumptions and validity of the English (UK) and Chinese (HK) short form 36 health survey (SF-36) were assessed in a community-based survey of 5,503 male and female Chinese, Malays and Indians in Singapore (aged 21-65 yrs) using the international quality of life assessment project approach of item and scale level validation. Item level validation of both versions generally supported assumptions underlying Likert scoring and hypothesized item-order clustering. Item level factor analysis supported the 8-scale structure of the SF-36. In scale level validation, SF-36 scale scores showed wide variability and acceptable internal-consistency reliability, conformed to hypothesized patterns and generally varied according to hypotheses in subjects known to differ in quality of life. Scale level factor analysis of both versions yielded very similar patterns of factor correlation, comparable to that found in Japan, but differing from that seen in Western populations. Taken together, these results support the validity of the English (UK) and Chinese (HK) SF-36 versions in the multi-ethnic Asian socio-cultural context of Singapore. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-09745-009&site=ehost-live&scope=site
A comparison of factors associated with physical inactivity among East Asian college students.,"Seo, Dong-Chul; Torabi, Mohammad R.; Chin, Ming Kai; Huang, Sen Fang; Chen, Chee Keong; Mok, Magdalena Mo Ching; Wong, Patricia; Chia, Michael; Lee, Chung Gun; Wang, Chunyun",International Journal of Behavioral Medicine,10705503,,20120901,19,3,316,8,2012-22767-009,10.1007/s12529-011-9167-4,Springer,Journal Article,College Students; Physical Disorders; Asians; Behavior; Sociocultural Factors; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Background: Little is known on the level of physical inactivity and its behavioral and cultural correlates among East Asian college students. Purpose: The aim of this study is to examine and compare the level and behavioral and cultural correlates of physical inactivity among college students in Taiwan, Hong Kong, South Korea, Singapore, and Malaysia. Method: Data were collected from a representative sample of college students (N = 12,137) in five East Asian economies during the 2008–2009 academic year. The stratified random sampling (stratum: geographic region) was used to select participating institutions. The overall response rate was 77%. Results: The percentage of physically inactive students was 7.2% for Singapore, 8.0% for Malaysia, 13.5% for Taiwan, 16.8% for Hong Kong, and 28.5% for South Korea. When gender, age, and body mass index were controlled, fruit and vegetable consumptions were significant correlates for physical inactivity across all the five economies. In Hong Kong, Korea, and Taiwan, those who engaged in binge drinking at least once during the past 2 weeks were less likely to be physically inactive than those who did not. Religion and military experience did not independently predict physical inactivity in any of the five economies. Conclusion: Physical inactivity varies greatly across different economies in East Asia that are usually grouped together and considered a single homogeneous entity by some researchers. However, in terms of correlates of physical inactivity, findings of the current study indicate that the transversal value of physical activity might be transformed into a universal. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-22767-009&site=ehost-live&scope=site
A comparison of symptoms in cases with first onset of schizophrenia across four groups.,"Bhugra, Dinesh; Hilwig, M.; Corridon, Bryan; Neehall, J.; Rudge, Shauna; Mallett, Rosemarie; Leff, Julian",The European Journal of Psychiatry,02136163,,20001001,14,4,241,9,2001-16189-007,,European Journal of Psychiatry,Journal Article,Cross Cultural Differences; Psychiatric Symptoms; Racial and Ethnic Differences; Schizophrenia; Asians; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs),,"Studies of schizophrenia across cultures have shown that different groups present with different symptoms. This study reports on differences of symptoms across 4 Asian and African-Caribbean ethnic groups. All 1st-contact cases of schizophrenia over a 2-yr period in 2 catchment areas in London and 2 catchment areas in Trinidad were included in a study using Present State Examination (J. K. Wing, et al, 1974) as an interview for ascertaining their mental sate. Schizophrenia was diagnosed using the CATEGO program, and symptoms were compared across the 4 groups. There was a distinction between various groups in presentation of symptoms. Whereas London Asian patients (those originating from the Indian subcontinent) were more likely to present with worry and irritability, the African-Caribbeans presented with delusions of reference and paranoid symptoms. The Trinidadian patients were also more likely to present with a multitude of non-specific symptoms, e.g. worrying and irritability, and delusions of persecution and sexual delusions were rare in this group. Findings suggest that the presenting symptoms of schizophrenia do vary across culture and, in cross-cultural comparison, schizophrenia must be regarded as heterogeneous entity. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-16189-007&site=ehost-live&scope=site
A comparison of Vietnamese-Australian and Anglo-Australian mothers' beliefs about intellectual development.,"Rosenthal, Doreen A.; Gold, Ron",International Journal of Psychology,00207594,,19890101,24,2,179,15,1989-39566-001,10.1080/00207594.1989.10600041,Taylor & Francis,Journal Article,Cross Cultural Differences; Intellectual Development; Mothers; Parental Attitudes; Anglos; Asians; Childhood (birth-12 yrs); Preschool Age (2-5 yrs); Adulthood (18 yrs & older); Female,,"25 working-class Vietnamese (VT) and 32 working-class and 39 upper-middle-class Anglo-Australian mothers of 5-yr-old children were asked about the heritability and stability of intelligence, its importance in different life domains, and the roles of parents and teachers in developing intelligence. Developmental timetables for the acquisition of certain intellectual abilities were also elicited. Culture emerged as a significant influence on Ss' beliefs considerably more than did social class or sex of their child. VT Ss perceived intelligence as more important than did Anglo Ss, had a more narrowly focused view of education and intellectual development, and expected later acquisition of intellectual abilities. These differences were consistent with traditional VT values. (French abstract) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1989-39566-001&site=ehost-live&scope=site
'A cool little buzz': Alcohol intoxication in the dance club scene.,"Hunt, Geoffrey; Moloney, Molly; Fazio, Adam",Substance Use & Misuse,10826084,,20140701,49,8,968,14,2014-16122-007,10.3109/10826084.2013.852582,Informa Healthcare,Journal Article,Alcohol Intoxication; Drug Abuse; Asians; Dance; Developmental Age Groups; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female,,"In recent years, there has been increasing concern about youthful 'binge' drinking and intoxication. Yet the meaning of intoxication remains under-theorized. This paper examines intoxication in a young adult nightlife scene, using data from a 2005–2008 National Institute on Drug Abuse-funded project on Asian American youth and nightlife. Analyzing in-depth qualitative interview data with 250 Asian American young adults in the San Francisco area, we examine their narratives about alcohol intoxication with respect to sociability, stress, and fun, and their navigation of the fine line between being 'buzzed' and being 'wasted.' Finally, limitations of the study and directions for future research are noted. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-16122-007&site=ehost-live&scope=site
A critical examination of the construct of perfectionism and its relationship to mental health in Asian and African Americans using a cross-cultural framework.,"DiBartolo, Patricia Marten; Rendón, María José",Clinical Psychology Review,02727358,,20120401,32,3,139,14,2012-07465-002,10.1016/j.cpr.2011.09.007,Elsevier Science,Journal Article,Cross Cultural Differences; Mental Health; Minority Groups; Perfectionism; Asians; Blacks,,"Although the bulk of the research literature on the construct of perfectionism and its relationship to mental health in the last 20 years has focused predominantly on Caucasian American samples, researchers are paying increasing attention to understanding perfectionism's dimensions across ethnicities. Given this momentum, the purpose of this paper is to use a cross-cultural framework to review published studies assessing perfectionism in members of an ethnic minority group living in the United States. Research to date has focused exclusively on Asian and African American samples and we organize our review by separating this literature into those studies that use level and structure-oriented cross-cultural approaches. Structure-oriented approaches empirically explore the phenomenology and/or correlates of perfectionism within each ethnic group where as level-oriented approaches examine the relative magnitude of perfectionism's levels across groups. The last section of the review critically examines the strength of the evidence in support of researchers’ arguments that certain sociocultural factors, such as collectivism and parenting style, influence perfectionism's expression and implications for ethnic minorities. Throughout the review, we offer a series of steps researchers can take to foster our understanding of perfectionism and its impacts using a cross-cultural perspective. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-07465-002&site=ehost-live&scope=site
A cross-cultural analysis of psychiatric symptom expression using Langner's twenty-two item index.,"Nishimoto, Robert",Journal of Sociology and Social Welfare,01915096,,19881201,15,4,45,18,1989-28119-001,,Western Michigan Univ,Journal Article,Cross Cultural Differences; Measurement; Psychopathology; Racial and Ethnic Differences; Test Validity; Anglos; Asians; Symptoms; Latinos/Latinas; Adulthood (18 yrs & older),,"An analysis of psychiatric symptom response using T. S. Langner's (1962) 22-item index was conducted across 3 cultural settings. There were 11,027 Anglo-American, 293 Vietnamese Chinese, and 213 Mexican Ss. Similarities did exist in response patterns and in those symptom items highly correlated with the total psychiatric screening score. Close examination revealed between-group differences indicating that not all 22 items were valid indicators of psychological disorder across cultures. Issues in the development and use of symptom checklists to measure and assess mental health constructs across cultures are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1989-28119-001&site=ehost-live&scope=site
A cross-cultural comparison of customer value perceptions for products: Consumer aspects in East Asia.,"Huang, Chih-Wen; Tai, Ai-Ping",Cross Cultural Management,20595794,,20030101,10,4,43,18,2003-08978-003,10.1108/13527600310797685,Emerald Group Publishing Limited,Journal Article,Business Organizations; Consumer Attitudes; Consumer Behavior; Cross Cultural Differences; Preferences; Asians; Consumer Satisfaction; Shopping; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Female,,"Facing the ever-changing environment of global markets, differences in cross-country customer cultures have affected global marketing strategies. After a comparison is made here of cross-country customer behaviors, the significant differences of the countries considered are determined. To date, there has been little scholarly work devoted to a comparison of customer values for the East Asian region. The purpose of this study is to address this gap and to investigate customer perceived value from the standpoint of consumers in East Asia. Furthermore, cross-cultural studies have seldom focused on feminine oriented merchandise. As a matter of fact, feminine purchasing power cannot be ignored in East Asia. This paper focuses on female directed merchandise, such as skin care products and cosmetics products; skin care products include hair care, sun care, body care, face care, bath and shower products, cleansers, hand care, liquid soap, etc., and cosmetics products included foundation, lipstick, etc. Thus, this research aims to develop scales to measure customer value, through a cross-cultural investigation of the similarities and differences of university female students buying habits with respect to skin care and cosmetics products from Japan, Korean, Taiwan, and China. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2003-08978-003&site=ehost-live&scope=site
A cross-cultural comparison of media multitasking in American and Malaysian college students.,"Bowman, Laura L.; Waite, Bradley M.; Levine, Laura E.","International Journal of Cyber Behavior, Psychology and Learning",21557136,,20140101,4,3,1,16,2014-48394-001,10.4018/ijcbpl.2014070101,IGI Global,Journal Article,College Students; Cross Cultural Differences; Mass Media; Society; Multitasking; Asians; Adulthood (18 yrs & older); Male; Female,,"Asian societies have adopted electronic media in equal measure to western societies. Media use, its impacts and correlates have been examined in western and some Asian societies, but this study is unique in examining Malaysian students’ use of media. Malaysian and American college students reported their electronic media use, reading activities and patterns of multitasking with media while studying. They also were administered an academic distractibility questionnaire and a standard self-report measure of impulsiveness. Results indicated that Malaysians reported more electronic media use than Americans as well as more multitasking with media and multitasking while studying. For both Malaysians and Americans, students who reported using social networking while studying scored higher on measures of distractibility and impulsiveness. A more complex pattern of results for other types of media use and reading are described. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-48394-001&site=ehost-live&scope=site
A cross-cultural study of parental conflict and eating disorders in a non-clinical sample.,"Mujtaba, Tamjid; Furnham, Adrian",International Journal of Social Psychiatry,00207640,,20010301,47,1,24,12,2001-17593-003,,Sage Publications,Journal Article,Body Image Disturbances; Cross Cultural Differences; Eating Disorders; Parent Child Relations; Racial and Ethnic Differences; Asians; Eating Attitudes; Immigration; Parental Attitudes; Permissive Parenting; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Female,,"This study looked at the relationship between parental conflict and parental overprotection and Eating Attitudes Test (EAT) scores in 3 cultures. The 3 groups, all of late adolescent females, were 116 British Caucasians, 118 immigrant British Asians from Pakistan, and 114 Pakistanis tested in Pakistan. A 22-item conflict questionnaire was constructed and administered to 355 participants, along with the Parental Bonding Instrument, EAT-26, and Body Shape Belief Scale. It was predicted that the British Asians would have higher EAT, parental protection and conflict scores than the other two groups. It was also predicted that EAT scores would be highly correlated with conflict scores. All hypotheses were supported, and over-protection scores were noticeably highest in the British Asian group. They also had a significant amount of more conflict with parents than any of the other cultural groups. EAT scores were associated with conflict and over-protection. Results are discussed in terms of the literature in the field. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-17593-003&site=ehost-live&scope=site
"A Cross-National Comparative Study of Work-Family Stressors, Working Hours, and Well-Being: China and Latin America Versus the Anglo World.","Spector, Paul E.; Cooper, Cary L.; Poelmans, Steven; Allen, Tammy D.; O'Driscoll, Michael; Sanchez, Juan I.; Siu, Oi Ling; Dewe, Phil; Hart, Peter; Lu, Luo; De Moreas, Lúcio Flávio Renault; Ostrognay, Gabrielle M.; Sparks, Kate; Wong, Paul; Yu, Shanfa",Personnel Psychology,00315826,,20040301,57,1,119,24,2004-12212-005,10.1111/j.1744-6570.2004.tb02486.x,Blackwell Publishing,Journal Article,Cross Cultural Differences; Family Work Relationship; Job Satisfaction; Well Being; Workday Shifts; Anglos; Asians; Stress; Latinos/Latinas; Adulthood (18 yrs & older); Male; Female,,"A comparative study of work-family stressors, work hours, and well-being was described contrasting 3 culturally distinct regions: Anglo (Australia, Canada, England, New Zealand, and U.S.), China (Hong Kong, People's Republic of China, and Taiwan) and Latin America (Argentina, Brazil, Colombia, Ecuador, Mexico, Peru, and Uruguay). Samples of managers were surveyed in each country, and country data were combined for the 3 regions. Support was found for the hypothesis that Anglos would demonstrate a stronger positive relation between work hours and work-family stressors than Chinese and Latins. In all 3 samples, work-family stressors related to increased job satisfaction and reduced well-being. Latins were found to work the most hours, have the most children, and report the highest job satisfaction. China was the only region in which being married and having more children related positively to all measures of well-being. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-12212-005&site=ehost-live&scope=site
A cross-race effect in metamemory: Predictions of face recognition are more accurate for members of our own race.,"Hourihan, Kathleen L.; Benjamin, Aaron S.; Liu, Xiping",Journal of Applied Research in Memory and Cognition,22113681,,20120901,1,3,158,5,2013-30974-003,10.1016/j.jarmac.2012.06.004,Elsevier Science,Journal Article,Ability; Face Perception; Metacognition; Racial and Ethnic Differences; Asians; Whites; Witnesses; Adulthood (18 yrs & older),,"The Cross-Race Effect (CRE) is the well-replicated finding that people are better at recognizing faces from their own race, relative to other races. The CRE reveals systematic limitations on eyewitness identification accuracy, suggesting that some caution is warranted in evaluating cross-race identification. The CRE is problematic because jurors value eyewitness identification highly in verdict decisions. We explore how accurate people are in predicting their ability to recognize own-race and other-race faces. Caucasian and Asian participants viewed photographs of Caucasian and Asian faces, and made immediate judgments of learning during study. An old/new recognition test replicated the CRE: both groups displayed superior discriminability of own-race faces. Importantly, relative metamnemonic accuracy was also greater for own-race faces, indicating that the accuracy of predictions about face recognition is influenced by race. This result indicates another source of concern when eliciting or evaluating eyewitness identification: people are less accurate in judging whether they will or will not recognize a face when that face is of a different race than they are. This new result suggests that a witness's claim of being likely to recognize a suspect from a lineup should be interpreted with caution when the suspect is of a different race than the witness. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-30974-003&site=ehost-live&scope=site
